date,feesUSD,tvlUSD,volumeUSD,txCount
2021-05-04,0,0,0,54
2021-05-05,58451.08847582384028074319246363399,137393087.8391719539564165911351197,16937182.15483943561610092783061984,4678
2021-05-06,640440.860829201016741935573565007,370737139.9413625345424431293663287,209792599.3253492988125528621961144,30385
2021-05-07,1082469.488636152721088084152979118,501602157.9472991320975753649259011,351587666.8545552239530810497216145,66006
2021-05-08,2895458.269986012605882409050021867,565496000.3094105849754249010640287,611251973.1162351968001843931643426,121888
2021-05-09,1870221.117281169807544918714659188,616952743.7559991805562736329347094,464396482.5397502458825890709570923,167008
2021-05-10,3004460.173054299375318264504056345,575723934.5448282719993192182000936,788345423.204635007198444829644841,203899
2021-05-11,2393414.614548940379422216465863747,741137534.2628867857447428948383976,628815232.574035732715805849685326,233636
2021-05-12,4351016.811893894740627738973767915,816232284.1905186827003338452172349,1185948395.17348507040827346169736,262441
2021-05-13,4912513.417053592431397196621397168,934242799.6768714460126289461051891,1535201935.176621961302233854765771,292916
2021-05-14,2616856.632555444424338959645646043,991720117.4902359699841123545392241,820163744.3798683080224424313966848,319332
2021-05-15,2789161.664042543365196165143584861,979236106.142920511505296984502253,834932523.0214449530482783059911849,348644
2021-05-16,3644630.043764301450037856462309718,996794267.5442643283797326663705874,1142729897.745995081255188264011002,380905
2021-05-17,4107956.857688956429460823554841035,1024307976.777543458734156128556351,1435847105.600000806172275799658695,413310
2021-05-18,3198768.623829146470742895999253663,1119338013.995550201533745036956883,1208124293.662246530106080284992562,444724
2021-05-19,7152404.950824860823294529938301265,889946495.1808994474459185785117775,2620631938.828709997878876976452438,478399
2021-05-20,5073564.701839484105789742898645827,1087109781.244185869260362241584893,1762314761.101055507927578500215637,510320
2021-05-21,4585562.356188172828433544283748057,989895502.1901211281446775997512806,1597275168.21500882846522891911463,540725
2021-05-22,3235374.937036816215847619796464367,1004276310.327370739142236036557409,1213856356.890183195847640375573184,569415
2021-05-23,5142799.828437502398877849633216853,950813175.29575069588531160084049,1897141145.441336831699691288804272,601909
2021-05-24,4618386.13065457239576209749657865,1282841678.111186931231953488966334,1693797125.138548621055985372522621,636429
2021-05-25,4219853.691834494586303123885136661,1465561332.187755407980552429960709,1545955864.84971587826756208360308,671494
2021-05-26,4195719.666641836587195585994793608,1606677749.67405397590516779352838,1462069089.620289067404243510690972,709199
2021-05-27,3061528.349400200442964666516177571,1587657885.757981296365128209551874,1172721265.878060738216024722686347,741885
2021-05-28,3807300.532516250508927969266075532,1563896255.852865650981275575178784,1425241765.05336932653482219387678,774011
2021-05-29,3709488.611787864657802581944946122,1545421594.342913758487534751470392,1349284812.167744440842343029809982,804076
2021-05-30,2990706.371548179021717627905069704,1637808296.132797764298627533692134,1164099707.918967877644954313687204,834349
2021-05-31,2875612.738757446322969444767009377,1809197597.734490834496409997265101,1086628151.448513695872446312431973,865774
2021-06-01,2444767.866056813301455357746056371,1807516967.001795522030221565158362,943454995.8474419509015058734829412,895170
2021-06-02,1964883.212624707855278531178045007,1842842475.370060266763435428090592,749073133.2484514637287470137793658,927412
2021-06-03,2101881.191391781609477449374326242,1923061757.628842065070964659023608,866172290.4273290117534210804741581,963689
2021-06-04,3121179.111917642775942993984974541,1861892178.577044590874033243244837,1122238132.993615055327523743502464,1000629
2021-06-05,2096632.441060183909339698310088161,1819259746.713085444399046155433624,798005345.9767245823434680362349639,1035284
2021-06-06,1265770.461449619364521621577572434,1872774246.300929404460312650688167,478092901.4179028988981100273541103,1066549
2021-06-07,2198514.073056008059502488495566706,1720995908.047281237266110634932238,879634336.47018526316746080237431,1107095
2021-06-08,3345510.257962422438920369263465791,1760032043.715365921488606548625865,1348066135.242692471085975564721687,1155710
2021-06-09,3027442.986086904734210459340006725,1825880807.289188043002050240062656,1222463482.541457236179850623854212,1197779
2021-06-10,2192716.488646191748773951229666465,1787650380.667006125328427532021072,879616104.5110492083637899712100701,1241818
2021-06-11,2108189.357873759796742507634611358,1704982799.307389427373893788632227,846571768.2678060236059918312495313,1287991
