,date,volumeUSD,feesUSD,tvlUSD,txCount,feeTier
0,2021-05-05,3732.094428775605445003159429854333,1.866047214387802722501579714927167,15990.5025439940886751925509600602,14,500.0
1,2021-05-06,1804100.360824469382992833462819919,902.0501804122346914964167314099573,513871.4159407929723419764491435211,906,500.0
2,2021-05-07,24132962.61343503546513328194485803,12066.48130671751773256664097242894,2749923.824139887875098979243647372,1979,500.0
3,2021-05-08,21333664.52815374778086557562483543,10666.83226407687389043278781241774,1576917.792811014489888423519154903,1372,500.0
4,2021-05-09,6330963.787682867735399760167184382,3165.481893841433867699880083592182,1558604.980082295860302258155946276,1097,500.0
5,2021-05-10,10471004.34959328844736349296877769,5235.502174796644223681746484388865,1743611.751115867332913985393284196,839,500.0
6,2021-05-11,5488562.481382890654154639926006598,2744.281240691445327077319963003295,1682557.19162959218250065701271106,494,500.0
7,2021-05-12,5367944.062613589310967472168195898,2683.972031306794655483736084097959,1187940.541792371719885157764503725,559,500.0
8,2021-05-13,15178881.87926822497916015415979645,7589.440939634112489580077079898236,1214058.466320273414796125461481406,1134,500.0
9,2021-05-14,3700837.552012382855486529886966652,1850.418776006191427743264943483316,1230501.385146417393407823206336005,856,500.0
10,2021-05-15,6396274.490215626233218813688636922,3198.137245107813116609406844318467,1188378.754499233226521393118642292,1035,500.0
11,2021-05-16,17784560.99614449113539314177045167,8892.28049807224556769657088522581,1196930.087177222208884199899424471,1620,500.0
12,2021-05-17,10944541.76331811204355129346919744,5472.270881659056021775646734598714,943635.3861751264754224175371912495,1246,500.0
13,2021-05-18,11172707.39260383607462270413064908,5586.353696301918037311352065324542,1329615.349810768672396913306600916,1450,500.0
14,2021-05-19,310888.2118923478028427130741111673,155.4441059461739014213565370555841,1013896.482742444279879225241450012,198,500.0
15,2021-05-20,816170.1423878082159267424736958609,408.0850711939041079633712368479312,1076869.197632216683054724181249053,538,500.0
16,2021-05-21,751420.20134598064062767932381298,375.7101006729903203138396619064907,938614.7026199620365749405642886238,558,500.0
17,2021-05-22,161330.8373890822328319189445218508,80.66541869454111641595947226092573,887285.476882656553821864831087654,356,500.0
18,2021-05-23,135931.9376100436677104532836753635,67.96596880502183385522664183768193,568435.3079650539296259743202354478,244,500.0
19,2021-05-24,2819218.06459572985761520172058353,1409.609032297864928807600860291753,845124.6629768310571047272990183778,905,500.0
20,2021-05-25,1512544.850945688008741644256169347,756.2724254728440043708221280846821,819976.262215453661972936205590757,807,500.0
21,2021-05-26,1131087.368133029958015538295935704,565.5436840665149790077691479678559,883227.807195063596755770264694431,855,500.0
22,2021-05-27,1401105.42716182865544396216709635,700.5527135809143277219810835481726,748444.9282205335357477120153857051,896,500.0
23,2021-05-28,2885154.676771459035427770755465635,1442.57733838572951771388537773282,642641.4117492363635468974605261542,459,500.0
24,2021-05-29,393360.0744352281139289749664090339,196.680037217614056964487483204517,500390.8407204658789982019465903932,416,500.0
25,2021-05-30,546565.6629647497969560253454337304,273.2828314823748984780126727168653,514064.0858934415030415000418104025,670,500.0
26,2021-05-31,631818.6740743622701275055064487469,315.9093370371811350637527532243743,618523.2300035467053217152518681983,643,500.0
27,2021-06-01,4237599.631912879956645561292164118,2118.799815956439978322780646082053,706943.1583866120642643266795062681,1150,500.0
28,2021-06-02,31096127.25827757183838318361384773,15548.0636291387859191915918069238,2610732.656226485609582930084635356,2812,500.0
29,2021-06-03,78941204.92797437859937745783143327,39470.60246398718929968872891571641,10080429.97749815024719866922270769,3271,500.0
30,2021-06-04,50697477.2446694299248317738222208,25348.73862233471496241588691111048,7943616.156921136799009453696389877,3429,500.0
31,2021-06-05,42590057.57831758978514657073948661,21295.02878915879489257328536974329,5804640.599021781466906536750057878,3377,500.0
